,X,Y,Z
P1,400,300,250
P2,400,150,250
P3,400,0,250
P4,400,-150,250
P5,400,-300,250
P6,400,-300,400
P7,400,-150,400
P8,400,0,400
P9,400,150,400
P10,400,300,400
P11,400,300,550
P12,400,150,550
P13,400,0,550
P14,400,-150,550
P15,400,-300,550
P16,550,-300,550
P17,550,-150,550
P18,550,0,550
P19,550,150,550
P20,550,300,550
P21,550,300,400
P22,550,150,400
P23,550,0,400
P24,550,-150,400
P25,550,-300,400
P26,550,-300,250
P27,550,-150,250
P28,550,0,250
P29,550,150,250
P30,550,300,250
P31,700,300,250
P32,700,150,250
P33,700,0,250
P34,700,-150,250
P35,700,-300,250
P36,700,-300,400
P37,700,-150,400
P38,700,0,400
P39,700,150,400
P40,700,300,400
P41,700,300,550
P42,700,150,550
P43,700,0,550
P44,700,-150,550
P45,700,-300,550
