,Programmed coordinate,,,CoppeliaSim coordinates,,,Coordinates differences,,,Programmed TCP orientation,,,CoppeliaSim TCP orientation,,,TCP orientation difference,,,,,,,,
,X,Y,Z,X,Y,Z,DX,DY,DZ,RX,RY,RZ,RX,RY,RZ,,,,A1,A2,A3,A4,A5,A6
P1,641,21,473,640.9980058,20.9985077,472.9987978,0.0019942,0.0014923,0.0012022,0,90,0,0,90,-0.001,0,0,0.001,2.810995,26.286148,2.378532,-0.15608,-31.019028,-6.68297
P2,536,235,281,535.9988212,235.0001782,280.99972,0.0011788,-0.0001782,0.00028,0,90,0,0,90,-0.001,0,0,0.001,26.62761,43.217509,14.09162,25.744248,-63.459035,-18.00798
P3,656,242,373,655.9998989,241.9907003,373.0005919,0.0001011,0.0092997,-0.0005919,0,90,0,0,90,0.001,0,0,-0.001,22.938734,44.082262,-8.68216,29.664037,-43.204526,-29.283163
P4,510,276,526,510.0032091,275.9964466,526.0041952,-0.0032091,0.0035534,-0.0041952,0,90,0,0,90,0.002,0,0,-0.002,33.234191,15.925306,9.233602,49.510101,-42.251137,-49.386209
P5,459,-118,333,458.9995741,-118.0026532,332.9991102,0.0004259,0.0026532,0.0008898,0,90,0,0,90,-0.001,0,0,0.001,-17.407603,24.268643,36.409709,-23.701544,-63.936268,5.716024
P6,610,99,466,610.0009679,99.0021899,466.0005271,-0.0009679,-0.0021899,-0.0005271,0,90,0,0,90,0,0,0,0,11.096229,24.115605,7.243542,14.214922,-35.234416,-18.657975
P7,465,-55,492,464.9966061,-55.0040007,491.9970035,0.0033939,0.0040007,0.0029965,0,90,0,0,90,-0.001,0,0,0.001,-7.593584,0.09331,32.737926,-17.878367,-35.629341,7.620256
P8,436,237,298,435.9987676,237.0004653,297.99968,0.0012324,-0.0004653,0.00032,0,90,0,0,90,-0.001,0,0,0.001,32.533236,34.05742,30.307916,30.47852,-71.176678,-16.741452
P9,445,-117,511,445.0013041,-117.0011461,511.0015869,-0.0013041,0.0011461,-0.0015869,0,90,0,0,90,0,0,0,0,-17.020077,-3.043356,32.267767,-35.468394,-35.09078,22.97249
P10,547,29,431,547.0050573,29.0099978,431.0035705,-0.0050573,-0.0099978,-0.0035705,0,90,0,0,90,0,0,0,0,3.81082,18.296417,22.263414,0.828017,-42.984652,-7.143646
P11,415,171,268,414.9990677,170.9999442,267.9997086,0.0009323,5.58E-05,0.0002914,0,90,0,0,90,-0.001,0,0,0.001,25.54021,36.070471,38.041066,22.073031,-78.354612,-9.732479
P12,490,300,336,490.0026321,299.9960482,336.0009789,-0.0026321,0.0039518,-0.0009789,0,90,0,0,90,0.001,0,0,-0.001,35.636976,35.49974,16.155043,36.955486,-61.952835,-26.338057
P13,619,7,521,619.0016865,6.9985166,521.0014581,-0.0016865,0.0014834,-0.0014581,0,90,0,0,90,0,0,0,0,1.610659,19.508522,4.022058,-2.315564,-25.813136,-5.041014
P14,563,296,267,562.9988908,296.0002422,266.9998407,0.0011092,-0.0002422,0.0001593,0,90,0,0,90,-0.001,0,0,0.001,30.95777,49.89616,2.903374,31.683919,-60.897906,-22.827693
P15,571,270,520,571.0007548,270.0010836,520.0003385,-0.0007548,-0.0010836,-0.0003385,0,90,0,0,90,0,0,0,0,29.446157,23.321272,-0.136702,47.252136,-38.153079,-48.476353
P16,414,101,432,413.9971137,101.0064333,431.9980144,0.0028863,-0.0064333,0.0019856,0,90,0,0,89.98,-0.002,0,0.02,0.002,16.398061,2.722649,42.670312,17.361978,-50.168157,-18.320555
P17,431,50,452,430.9981465,49.9959066,451.9978761,0.0018535,0.0040934,0.0021239,0,90,0,0,90,-0.001,0,0,0.001,8.01806,0.308295,40.748806,7.228396,-44.092768,-12.179991
P18,462,-94,399,461.9936347,-93.9971582,398.9949226,0.0063653,-0.0028418,0.0050774,0,90,0,0,90,-0.003,0,0,0.003,-13.718996,12.965067,36.470915,-21.738172,-52.68824,7.528158
