,,Programmed coordinate,,,CoppeliaSim coordinates,,,Coordinates differences,,,Programmed TCP orientation,,,CoppeliaSim TCP orientation,,,TCP orientation difference,,,,,,,,
Time (min),P#,X,Y,Z,X,Y,Z,DX,DY,DZ,RX,RY,RZ,RX,RY,RZ,DRX,DRY,DRZ,A1,A2,A3,A4,A5,A6
0,P1,641,21,473,640.972,21.008,473.013,0.028,-0.008,-0.013,0,90,0,0,90,0,0,0,0,2.088125,29.685166,0.617137,4.12122,-30.365925,-3.553906
0,P2,536,235,281,536,234.999,281,0,0.001,0,0,90,0,0,90,0,0,0,0,26.515383,45.495825,12.812622,30.385097,-61.960027,-15.410022
0,P3,656,242,373,655.998,241.999,373.001,0.002,0.001,-0.001,0,90,0,0,90,-0.01,0,0,0.01,22.267166,46.838636,-10.484767,34.634837,-41.814053,-27.240612
0,P4,510,276,526,510,276,526,0,0,0,0,90,0,0,90,0,0,0,0,31.807012,18.251392,7.967489,54.535491,-40.324491,-46.943098
0,P5,459,-118,333,459,-118,333,0,0,0,0,90,0,0,90,0,0,0,0,-16.671732,27.681197,35.056126,-18.618779,-63.971723,8.409584
0,P6,610,99,466,610,99,466,0,0,0,0,90,0,0,90,0,0,0,0,10.295209,27.223645,5.624348,18.514718,-34.250332,-15.472515
0,P7,465,-55,492,465,-55,491.999,0,0,0.001,0,90,0,0,90,0,0,0,0,-7.828681,3.72588,31.509052,-13.40463,-35.984097,10.915108
0,P8,436,237,298,435.995,236.998,297.994,0.005,0.002,0.006,0,90,0,0,90,0,0,0,0,32.569671,35.990486,29.32569,35.10739,-69.393896,-13.896646
0,P9,445,-117,511,444.999,-117.002,510.997,0.001,0.002,0.003,0,90,0,0,90,-0.01,0,0,0.01,-17.112657,0.812007,31.115514,-30.206905,-35.792258,25.277944
0,P10,547,29,431,546.975,29.005,430.979,0.025,-0.005,0.021,0,90,0,0,90,0,0,0,0,3.445052,21.505743,20.832942,5.12289,-42.438237,-3.7809
0,P11,415,171,268,414.999,171,267.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,26.037519,38.097647,37.045542,26.813828,-76.680513,-6.641825
0,P12,490,300,336,489.992,300.001,336.005,0.008,-0.001,-0.005,0,90,0,0,89.98,0,0,0.02,0,35.216803,37.489023,15.050613,41.643612,-60.203624,-23.836918
0,P13,619,7,521,618.999,7,520.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,0.723891,22.975771,2.331072,1.692943,-25.3165,-1.530412
0,P14,563,296,267,562.999,295.999,266.999,0.001,0.001,0.001,0,90,0,0,90,0,0,0,0,30.725305,52.113445,1.539656,36.424353,-59.37099,-20.603913
0,P15,571,270,520,571,270,519.999,0,0,0.001,0,90,0,0,89.98,-0.01,0,0.02,0.01,28.083263,25.85839,-1.628592,52.434388,-36.433841,-46.288473
0,P16,414,101,432,413.966,101.017,431.999,0.034,-0.017,0.001,0,90,0,0,90,0,0,0,0,16.143614,5.513318,41.577461,21.565142,-49.154417,-14.490307
0,P17,431,50,452,430.992,50.012,451.968,0.008,-0.012,0.032,0,90,0,0,90,-0.01,0,0,0.01,7.780183,3.45373,39.589589,11.315255,-43.603064,-8.244385
0,P18,462,-94,399,462,-94,399,0,0,0,0,90,0,0,90,0,0,0,0,-13.320274,16.520318,35.159286,-16.792838,-52.887873,10.31981
0,P19,692,76,390,691.999,76,390,0.001,0,0,0,90,0,0,90,0,0,0,0,6.911006,44.310514,-9.008369,11.845615,-35.885893,-9.644133
0,P20,536,248,280,535.98,247.941,280.038,0.02,0.059,-0.038,0,90,0,0,90,-0.01,0,0,0.01,27.762878,46.136473,11.62452,31.895091,-61.835486,-16.376931
0,P21,619,18,314,618.995,17.998,313.997,0.005,0.002,0.003,0,90,0,0,90,-0.01,0,0,0.01,1.860797,43.712889,7.985245,2.370707,-51.722014,-1.469212
0,P22,527,287,353,526.994,286.968,352.993,0.006,0.032,0.007,0,90,0,0,89.98,-0.01,0,0.02,0.01,31.845487,37.815373,10.410679,39.790076,-55.534619,-25.238092
0,P23,647,222,381,646.999,222,380.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,20.878341,44.040048,-6.833641,32.243161,-41.912483,-25.145808
0,P24,405,244,479,405,243.999,478.999,0,0.001,0.001,0,90,0,0,90,0,0,0,0,35.663351,7.34763,29.907342,49.849309,-49.708673,-37.472826
0,P25,415,192,396,414.999,192,396,0.001,0,0,0,90,0,0,90,0,0,0,0,28.746483,15.928313,36.744409,34.598859,-57.883948,-20.139804
0,P26,695,288,364,694.999,287.999,363.999,0.001,0.001,0.001,0,90,0,0,90,-0.01,0,0,0.01,24.566462,55.204676,-24.606073,41.925524,-38.478776,-35.108378
0,P27,483,298,550,482.999,297.999,550,0.001,0.001,0,0,90,0,0,90,0,0,0,0,35.484437,15.136535,8.032046,61.105788,-41.530477,-53.601013
0,P28,417,184,294,416.998,183.999,293.998,0.002,0.001,0.002,0,90,0,0,90,-0.01,0,0,0.01,27.595904,33.608352,36.716907,29.034782,-72.639814,-9.404606
0,P29,700,36,537,699.999,35.999,536.999,0.001,0.001,0.001,0,90,0,0,90,0,0,0,0,3.244691,34.32575,-17.136443,10.859518,-17.483707,-10.368936
0,P30,452,103,282,451.982,102.998,281.984,0.018,0.002,0.016,0,90,0,0,90,-0.01,0,0,0.01,14.90346,36.060215,35.759486,15.649153,-72.451697,-4.828924
0,P31,580,25,303,580,25,303,0,0,0,0,90,0,0,89.98,-0.01,0,0.02,0.01,2.779063,41.499413,15.479397,3.313298,-57.022613,-1.804863
0,P32,547,-113,431,546.998,-112.999,430.998,0.002,-0.001,0.002,0,90,0,0,90,-0.01,0,0,0.01,-13.193458,23.041199,18.555556,-19.449311,-43.27291,14.418875
0,P33,544,-83,447,543.998,-82.999,446.999,0.002,-0.001,0.001,0,90,0,0,90,0,0,0,0,-9.829907,20.143974,19.603281,-15.162464,-40.748124,11.601883
0,P34,493,187,285,492.999,187,284.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,23.600311,40.123584,24.127175,25.87613,-66.540694,-10.929344
0,P35,644,53,525,643.999,53,524.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,5.229945,26.691286,-3.665576,13.171067,-23.580622,-12.105076
0,P36,592,-10,393,591.994,-9.999,393.002,0.006,-0.001,-0.002,0,90,0,0,89.98,-0.01,0,0.02,0.01,-1.086953,31.216915,13.393377,-1.548525,-44.620605,1.101771
0,P37,626,143,336,626,142.999,336,0,0.001,0,0,90,0,0,90,-0.01,0,0,0.01,14.299774,43.624793,3.082582,19.299896,-48.357685,-13.099368
0,P38,434,95,515,433.999,95,514.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,14.436634,-2.240476,33.417468,26.440575,-34.049262,-22.393167
0,P39,635,-10,469,634.999,-10,468.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,-1.005039,29.155335,2.138773,-1.934435,-31.308611,1.652929
0,P40,547,245,397,546.967,244.94,397.031,0.033,0.06,-0.031,0,90,0,0,90,0,0,0,0,26.938739,32.353953,10.628754,36.695485,-49.292834,-25.921173
0,P41,514,234,468,513.999,234,468,0.001,0,0,0,90,0,0,90,0,0,0,0,27.525563,20.669702,14.858868,41.885472,-43.804609,-32.91169
0,P42,622,-144,277,621.999,-144,277,0.001,0,0,0,90,0,0,90,-0.01,0,0,0.01,-14.494661,50.453675,2.727927,-17.896889,-54.535,10.612297
0,P43,600,-103,393,599.999,-103,392.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-10.897019,33.294341,9.859323,-15.720541,-44.244641,11.400211
0,P44,462,109,354,462,109,354,0,0,0,0,90,0,0,89.98,0,0,0.02,0,15.352009,24.14763,35.077331,17.720813,-60.43499,-8.959787
0,P45,439,103,506,438.999,102.999,505.999,0.001,0.001,0.001,0,90,0,0,89.98,0,0,0.02,0,15.3968,-0.221041,33.04664,26.931618,-35.887556,-22.371081
0,P46,414,136,536,413.985,136,535.973,0.015,0,0.027,0,90,0,0,90,0,0,0,0,21.291338,-5.260394,32.595264,40.346917,-34.131484,-35.108013
0,P47,464,-149,491,464,-149,491,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,-20.476341,7.150453,27.89293,-33.036973,-39.915838,26.509654
0,P48,628,276,275,628,276,275,0,0,0,0,90,0,0,90,0,0,0,0,26.114695,55.981077,-8.873451,33.786845,-52.327903,-22.240664
0,P49,522,-143,294,521.999,-143,293.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-17.374697,39.65854,22.22014,-19.533559,-63.267011,9.067443
0,P50,537,-37,325,536.906,-36.928,325.058,0.094,-0.072,-0.058,0,90,0,0,90,0.01,0,0,-0.01,-4.474779,34.525663,23.837107,-5.257324,-58.469951,2.76967
1,P1,641,21,473,640.934,21.04,472.981,0.066,-0.04,0.019,0,90,0,0,90,-0.01,0,0,0.01,2.095984,29.665342,0.637821,4.135948,-30.37223,-3.60655
1,P2,536,235,281,536,235,281,0,0,0,0,90,0,0,90,0,0,0,0,26.515892,45.484104,12.821106,30.366898,-61.964972,-15.428795
1,P3,656,242,373,656.025,241.978,372.984,-0.025,0.022,0.016,0,90,0,0,90,0,0,0,0,22.267357,46.828138,-10.477208,34.609213,-41.815604,-27.248509
1,P4,510,276,526,509.999,276,526,0.001,0,0,0,90,0,0,90,0,0,0,0,31.813897,18.239361,7.975812,54.519317,-40.333176,-46.964747
1,P5,459,-118,333,459,-118,333,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,-16.675474,27.663801,35.065381,-18.640692,-63.966853,8.393358
1,P6,610,99,466,610,99,466,0,0,0,0,90,0,0,90,0,0,0,0,10.299064,27.207759,5.634742,18.502881,-34.251972,-15.498017
1,P7,465,-55,492,465,-55,492,0,0,0,0,90,0,0,90,0,0,0,0,-7.827662,3.707376,31.517651,-13.420513,-35.977701,10.892673
1,P8,436,237,298,435.944,237.027,297.996,0.056,-0.027,0.004,0,90,0,0,90,-0.02,0,0,0.02,32.576966,35.976197,29.337021,35.10583,-69.39281,-13.934324
1,P9,445,-117,511,445.052,-117.038,510.995,-0.052,0.038,0.005,0,90,0,0,90,0.01,0,0,-0.01,-17.116328,0.80446,31.11507,-30.232218,-35.805546,25.27625
1,P10,547,29,431,546.962,29.016,430.963,0.038,-0.016,0.037,0,90,0,0,90,0,0,0,0,3.44869,21.488528,20.845057,5.117186,-42.430802,-3.81325
1,P11,415,171,268,414.999,171,267.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,26.035009,38.087081,37.052509,26.793558,-76.68597,-6.661919
1,P12,490,300,336,490,299.999,336,0,0.001,0,0,90,0,0,90,-0.01,0,0,0.01,35.218309,37.480307,15.056815,41.626201,-60.212148,-23.857143
1,P13,619,7,521,618.999,7,520.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,0.728118,22.95814,2.341998,1.684308,-25.315002,-1.558922
1,P14,563,296,267,562.947,296.039,267.008,0.053,-0.039,-0.008,0,90,0,0,90,-0.02,0,0,0.02,30.732904,52.097892,1.553596,36.422362,-59.374493,-20.639941
1,P15,571,270,520,571,270,519.999,0,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,28.089815,25.845304,-1.619075,52.418556,-36.441389,-46.309793
1,P16,414,101,432,413.935,101.049,432.022,0.065,-0.049,-0.022,0,90,0,0,90,0,0,0,0,16.151628,5.493312,41.587437,21.563813,-49.159884,-14.524599
1,P17,431,50,452,431,50.006,451.965,0,-0.006,0.035,0,90,0,0,90,0,0,0,0,7.780042,3.439496,39.596761,11.297846,-43.605451,-8.26641
1,P18,462,-94,399,462,-94,399,0,0,0,0,90,0,0,90,0,0,0,0,-13.322351,16.50223,35.168323,-16.813273,-52.882272,10.302197
1,P19,692,76,390,691.999,76,390,0.001,0,0,0,90,0,0,90,0,0,0,0,6.91361,44.293752,-8.995928,11.831099,-35.887454,-9.665032
1,P20,536,248,280,535.95,247.968,280.066,0.05,0.032,-0.066,0,90,0,0,90,-0.02,0,0,0.02,27.768009,46.119267,11.636356,31.888186,-61.836319,-16.408324
1,P21,619,18,314,619.009,17.989,313.975,-0.009,0.011,0.025,0,90,0,0,89.98,0,0,0.02,0,1.859854,43.701722,7.992852,2.350664,-51.730262,-1.482648
1,P22,527,287,353,526.996,286.97,353.018,0.004,0.03,-0.018,0,90,0,0,89.98,-0.01,0,0.02,0.01,31.848017,37.800121,10.418453,39.778096,-55.529046,-25.264708
1,P23,647,222,381,647,222,381,0,0,0,0,90,0,0,90,0,0,0,0,20.881553,44.025831,-6.822667,32.227113,-41.916953,-25.16546
1,P24,405,244,479,405,244,479,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,35.668562,7.336965,29.913957,49.833227,-49.71788,-37.495704
1,P25,415,192,396,414.999,192,396,0.001,0,0,0,90,0,0,90,0,0,0,0,28.748105,15.916816,36.751383,34.582009,-57.890006,-20.16262
1,P26,695,288,364,694.999,288,363.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,24.569867,55.189953,-24.592985,41.907537,-38.484227,-35.124341
1,P27,483,298,550,482.999,297.999,549.999,0.001,0.001,0.001,0,90,0,0,89.98,-0.01,0,0.02,0.01,35.492227,15.125237,8.039934,61.088187,-41.54046,-53.621282
1,P28,417,184,294,416.933,184.035,293.999,0.067,-0.035,0.001,0,90,0,0,90,-0.01,0,0,0.01,27.604723,33.596385,36.729844,29.033716,-72.658877,-9.435283
1,P29,700,36,537,699.999,35.999,536.999,0.001,0.001,0.001,0,90,0,0,90,0,0,0,0,3.249772,34.307398,-17.122969,10.854675,-17.484697,-10.400185
1,P30,452,103,282,451.923,103.065,282.021,0.077,-0.065,-0.021,0,90,0,0,90,-0.02,0,0,0.02,14.913811,36.037888,35.775294,15.653308,-72.451956,-4.867441
1,P31,580,25,303,579.999,25,302.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,2.778508,41.48384,15.489564,3.295168,-57.022511,-1.823837
1,P32,547,-113,431,546.999,-113,430.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-13.193253,23.022803,18.565268,-19.467833,-43.267869,14.401165
1,P33,544,-83,447,544.001,-82.999,447.003,-0.001,-0.001,-0.003,0,90,0,0,90,0,0,0,0,-9.829088,20.125615,19.612437,-15.181173,-40.741655,11.584455
1,P34,493,187,285,492.999,186.999,284.999,0.001,0.001,0.001,0,90,0,0,90,-0.01,0,0,0.01,23.599787,40.111856,24.135173,25.857453,-66.545195,-10.949064
1,P35,644,53,525,644.056,52.949,524.979,-0.056,0.051,0.021,0,90,0,0,90,0.01,0,0,-0.01,5.228504,26.683109,-3.663202,13.127002,-23.582296,-12.090871
1,P36,592,-10,393,591.969,-9.974,393.003,0.031,-0.026,-0.003,0,90,0,0,90,-0.01,0,0,0.01,-1.082584,31.197199,13.40897,-1.552984,-44.623556,1.069151
1,P37,626,143,336,625.999,142.999,336,0.001,0.001,0,0,90,0,0,90,-0.01,0,0,0.01,14.301384,43.610153,3.093073,19.283534,-48.360284,-13.119289
1,P38,434,95,515,433.999,95,515,0.001,0,0,0,90,0,0,90,0,0,0,0,14.441097,-2.255819,33.425166,26.433021,-34.051485,-22.425829
1,P39,635,-10,469,635,-10.001,469,0,0.001,0,0,90,0,0,90,0,0,0,0,-1.001999,29.137645,2.149992,-1.947141,-31.306982,1.629143
1,P40,547,245,397,546.95,244.964,397.052,0.05,0.036,-0.052,0,90,0,0,90,-0.01,0,0,0.01,26.945306,32.337803,10.637418,36.693084,-49.289644,-25.957743
1,P41,514,234,468,513.999,234,468,0.001,0,0,0,90,0,0,90,-0.01,0,0,0.01,27.530431,20.65721,14.867148,41.870569,-43.811211,-32.934858
1,P42,622,-144,277,621.999,-144,277,0.001,0,0,0,90,0,0,90,0,0,0,0,-14.495697,50.435701,2.739865,-17.91613,-54.53304,10.597269
1,P43,600,-103,393,599.999,-103,392.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,-10.896512,33.276217,9.870285,-15.738532,-44.241373,11.382517
1,P44,462,109,354,462,109,354,0,0,0,0,90,0,0,90,0,0,0,0,15.351577,24.134089,35.085421,17.70309,-60.437127,-8.981938
1,P45,439,103,506,439.028,102.981,506.01,-0.028,0.019,-0.01,0,90,0,0,90,0,0,0,0,15.396328,-0.233967,33.049933,26.907753,-35.882321,-22.383767
1,P46,414,136,536,414,136,536,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,21.29509,-5.274031,32.599898,40.311411,-34.139373,-35.118569
1,P47,464,-149,491,464,-149,490.999,0,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-20.476626,7.130902,27.901804,-33.059093,-39.908321,26.495599
1,P48,628,276,275,628,276,275,0,0,0,0,90,0,0,90,0,0,0,0,26.116223,55.968168,-8.862915,33.769011,-52.33278,-22.257582
1,P49,522,-143,294,522,-143,294,0,0,0,0,90,0,0,90,0,0,0,0,-17.377438,39.641205,22.230298,-19.554569,-63.263364,9.052141
1,P50,537,-37,325,536.907,-36.929,325.065,0.093,-0.071,-0.065,0,90,0,0,90,0.01,0,0,-0.01,-4.47635,34.50786,23.846748,-5.277442,-58.462943,2.75393
2,P1,641,21,473,640.902,21.073,472.946,0.098,-0.073,0.054,0,90,0,0,90,-0.01,0,0,0.01,2.103834,29.646459,0.659132,4.151083,-30.375143,-3.659513
2,P2,536,235,281,536,235,281,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,26.516397,45.472356,12.831493,30.349586,-61.967233,-15.449354
2,P3,656,242,373,656.05,241.955,372.972,-0.05,0.045,0.028,0,90,0,0,90,0,0,0,0,22.267482,46.816855,-10.466982,34.585417,-41.81474,-27.259255
2,P4,510,276,526,509.999,276,525.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,31.820768,18.227321,7.986008,54.506275,-40.340061,-46.990462
2,P5,459,-118,333,459,-118,333,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,-16.679237,27.646377,35.076525,-18.663091,-63.95906,8.378273
2,P6,610,99,466,610,99,466,0,0,0,0,90,0,0,90,0,0,0,0,10.302898,27.191874,5.646964,18.492506,-34.25066,-15.525294
2,P7,465,-55,492,465,-55,491.999,0,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-7.826686,3.688872,31.528115,-13.437329,-35.96832,10.871408
2,P8,436,237,298,435.999,237,298,0.001,0,0,0,90,0,0,90,-0.01,0,0,0.01,32.569111,35.969821,29.340597,35.070886,-69.403841,-13.93881
